freq,unit,sex,age,icd10,resid,geo,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
A,NR,F,TOTAL,F_OTH,TOT_RESID,EL,62 ,92 ,98 ,118 ,173 ,203 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,ES,310 ,253 ,251 ,276 ,312 ,307 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,EU27_2020,5511 ,5958 ,6051 ,6204 ,6991 ,7153 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,EU28,5850 ,6276 ,6399 ,: ,: ,: ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,FI,84 ,84 ,111 ,102 ,115 ,123 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,FR,1958 ,1994 ,2149 ,2195 ,2293 ,2117 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,HR,268 ,234 ,231 ,255 ,220 ,227 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,HU,117 ,119 ,132 ,145 ,197 ,168 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,IE,25 ,25 ,25 ,23 ,23 ,31 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,IS,: ,6 ,3 ,3 ,3 ,6 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,IT,715 ,782 ,826 ,817 ,1015 ,984 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,LI,1 ,0 ,0 ,0 ,0 ,1 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,LT,8 ,6 ,10 ,12 ,15 ,13 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,LU,8 ,6 ,10 ,10 ,5 ,9 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,LV,7 ,8 ,15 ,4 ,13 ,18 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,MT,: ,0 ,2 ,2 ,0 ,3 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,NL,323 ,347 ,276 ,325 ,349 ,395 ,: ,: 
