unit,s_adj,country,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Croatia,4.46,3.10,1.91,4.80,2.32,3.37,4.07,3.05,2.08,3.74,2.85,2.92,4.68,3.26,2.76,1.98,-1.43,-15.62,-11.09,-3.52,3.50,19.59,16.09,10.88,7.89,9.45,8.09,3.73,2.24 p,3.37 p,2.39 p,5.16 p,4.23 p,3.22 p,4.14 p
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Hungary,1.75,2.85,2.61,2.46,3.89,3.91,4.33,4.93,5.70,5.36,5.97,5.55,5.72,5.11,4.98,4.51,2.11,-12.98,-4.10,-3.06,-1.72,17.57,6.53,7.43,7.40,6.07,3.60,0.26,-1.45 p,-2.33 p,0.10 p,0.57 p,1.63 p,1.29 p,-0.72 p
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Ireland,-1.50,1.30,-0.21,7.68,10.49,10.10,15.20,8.81,9.93,10.63,5.88,3.56,4.53,5.02,5.38,6.35,8.80,0.10,10.62,5.30,11.76,23.47,12.85,15.44,8.86,8.15,8.39,9.28,-0.26,-3.87,-8.33,-9.85,-4.15,-3.22,2.46
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Italy,1.14,1.02,1.70,1.55,1.82,1.94,1.39,1.61,0.98,0.80,0.62,0.32,0.72,0.79,0.42,-0.25,-6.26,-18.04,-5.88,-5.59,1.87,18.97,7.26,8.34,7.14,6.27,3.61,2.41,2.26,0.49,0.14,0.32,0.31,0.67,0.45
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Lithuania,2.07,2.09,2.46,3.82,5.17,4.93,4.36,4.38,4.49,5.29,4.58,4.97,4.85,4.85,4.78,4.42,2.73,-4.21,1.38,0.32,2.99,10.06,5.78,6.80,5.53,2.59,1.78,0.29,-1.51,1.58,0.93,0.73,2.75,1.53,2.38
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Luxembourg,3.91,4.49,5.85,5.71,1.20,1.24,1.60,1.26,2.70,0.74,0.56,1.02,1.34,3.82,3.19,3.35,1.67,-6.31,1.24,-0.09,4.71,12.36,4.07,7.84,3.69,2.16,2.13,-2.23,-1.34,-0.57,-1.98,-0.53,-0.72 p,-0.11 p,1.16 p
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Latvia,3.80,2.79,1.19,2.62,2.55,2.73,3.70,3.32,3.55,4.46,4.12,4.14,2.82,1.09,0.92,-0.52,-0.83,-10.70,-1.14,0.01,0.16,12.63,8.49,7.16,7.12,5.42,-2.20,-0.85,0.33,0.95,2.29,1.13,0.17,-0.04,-0.97
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,North Macedonia,1.95,3.94,3.15,2.78,3.75,0.67,0.66,-0.05,0.98,2.47,2.89,4.59,3.78,5.54,4.59,1.25,0.13,-14.95,-3.26,0.10,0.38,15.53,2.60,1.15,2.75,3.47,2.02,2.33,1.21 p,1.68 p,2.47 p,2.66 p,2.59 e,2.78 e,2.84 e
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Malta,5.04,3.48,4.18,3.73,12.98,12.94,12.98,13.03,4.94,7.39,8.64,7.67,5.80,4.63,2.79,3.46,6.07,-9.23,-6.33,-3.39,1.16,17.42,19.10,14.56,8.08,5.18,2.09,3.25,5.27,9.24,7.23,6.38,7.01,5.80,5.44
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Norway,1.14,0.67,-0.61,1.46,2.14,3.16,4.18,2.22,1.57,0.90,0.85,1.46,0.52,1.08,1.02,1.82,1.30,-4.77,-1.89,-1.94,-0.46,5.62,6.01,4.97,3.60,4.49,2.28,1.58,2.59,0.91,-1.55,0.97,1.03,2.63,
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Poland,2.60,3.52,2.75,3.85,5.26,4.75,5.71,5.17,6.02,6.52,6.27,5.80,5.25,4.70,4.21,3.94,3.06,-7.07,-1.74,-2.29,-0.61,12.00,7.26,9.27,10.24,6.34,4.75,1.09,-1.22,-0.84,0.39,1.97,1.72,3.65,1.71
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Portugal,1.06 d,1.48 d,2.44 d,3.03 d,3.67 d,3.55 d,3.14 d,2.92 d,2.52 d,3.22 d,3.18 d,2.86 d,3.16 d,2.71 d,2.42 d,2.70 d,-2.42 d,-17.61 d,-6.13 d,-6.65 d,-5.35 d,16.51 d,5.53 d,7.24 d,12.19 d,7.67 d,4.99 d,3.57 d,3.27 d,2.94 d,1.78 d,2.13 d,1.37 d,1.57 d,1.93 d
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Romania,3.49,2.24,2.64,3.09,5.28,8.48,9.67,9.33,6.40,5.50,6.49,6.10,4.12,4.36,2.32,4.92,2.02,-8.58,-5.46,-2.58,1.21,11.38,7.70,2.48,4.25,3.43,3.54,4.65,1.54 p,2.75 p,3.21 p,2.12 p,2.00 p,0.80 p,-0.11 p
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Serbia,2.22,2.86,3.78,2.94,2.20,1.99,2.34,2.83,4.81,5.45,4.46,3.80,2.87,3.32,5.60,7.17,5.56,-6.97,-1.29,-1.02,1.64,14.70,8.38,7.86,4.59,4.17,1.02,0.89,2.32,2.92,4.98,5.21,4.49,4.17,3.21
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Sweden,3.26,2.00,2.04,1.11,1.88,1.79,2.06,2.65,2.06,2.36,1.60,2.05,2.40,2.62,2.69,2.56,2.16,-7.06,-2.47,-1.46,0.80,10.53,5.89,6.10,2.23,2.50,2.25,-0.67,1.10,-0.39,-0.52,-0.06,-0.02,0.47,0.65
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Slovenia,2.17,2.86,3.32,4.02,5.40,5.27,5.15,6.42,4.49,4.74,5.03,3.66,4.88,3.16,3.00,2.65,-2.28,-10.89,-1.72,-4.32,3.61,15.27,6.01,9.92,5.11,4.47,1.88,1.04,1.79,2.38,2.49,2.85,1.86,0.71,1.03
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Slovakia,3.14,2.15,1.34,1.20,1.95,2.65,3.13,3.76,3.99,4.24,4.39,3.63,3.30,2.31,1.68,1.84,-1.14,-8.96,-0.25,-0.02,3.43,13.28,3.69,3.19,1.89,0.42,-0.14,-0.35,0.04,1.33,1.91,2.24,2.70,2.05,1.69
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,Turkey,4.52,4.43,0.03,4.33,5.37,6.26,11.05,7.23,7.13,5.35,2.78,-2.60,-2.31,-0.68,0.82,5.82,4.37,-8.88,5.51,5.65,7.61,22.58,9.14,9.25,7.30,6.99,3.78,3.35,3.24,5.87,5.55,5.57,6.70,2.38,1.93
"Contribution to GDP growth, percentage point change compared to same period in previous year",Seasonally and calendar adjusted data,United Kingdom,2.00,1.71,1.62,1.56,1.86,1.70,1.82,1.58,1.14,1.24,1.41,1.22,1.71,1.46,1.36,1.21,-2.39,-20.80,-8.58,,,,,,,,,,,,,,,,
"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Austria,86169.8,89193.0,88806.1,93418.4,88162.4,92005.8,92146.1,97260.3,92789.9,95420.9,95414.9,101607.2,96178.5,98784.8,98864.0,103294.7,95153.4,89097.4,96812.7,99752.2,91750.4,100832.6,103717.8,108667.9,104424.1,112488.9,112056.2,118204.7,116494.8,120120.6,117890.1,123943.1,119243.0,123224.9,
"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Switzerland,151377.5,154929.2,156087.1,159324.7,156302.7,156940.2,151590.7,151539.4,148187.7,152137.3,155063.0,159324.4,155444.0,159383.5,163349.9,166685.8,163769.9,155553.7,163760.4,167101.0,161884.2,168804.0,174276.1,183909.2,184747.1,193241.7,203589.6,206451.8,200154.9,205123.2,208263.9,214170.1,213208.2,211588.9,216964.6
"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Cyprus,4347.3,4793.7,4960.3,4912.4,4712.2,5138.4,5286.6,5175.1,5061.8,5617.2,5606.9,5522.0,5395.5,5949.4,6140.1,5916.0,5617.2,5166.3,5797.5,5792.9,5874.9,6256.3,6728.6,6820.3,6851.9,7167.1,7857.9,7539.2,7397.1,7640.9,8285.3,8016.6,7843.8,8271.3,8717.4
"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Czechia,41693.0,44991.1,45578.7,46810.4,43586.0,49278.5,50959.6,53438.9,49753.0,53746.1,54331.6,55842.6,52753.0,57625.2,58466.6,60672.6,54044.0,51112.0,56615.9,58598.5,54440.5,61651.0,63834.0,66147.2,64759.9,71493.6,73906.8,76817.3,74273.5,82082.2,80384.0,80951.8,73699.3,81205.7,81116.7
"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Finland,51466.0,54137.0,53628.0,56486.0,53080.0,56633.0,55693.0,59300.0,55246.0,58433.0,57434.0,60792.0,56592.0,60293.0,59155.0,62478.0,57927.0,57543.0,58654.0,62263.0,57154.0,62307.0,62179.0,67124.0,62177.0,66836.0,66367.0,70755.0,65297.0,69504.0,67611.0,70906.0,65736.0,69721.0,68997.0
"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",France,550314.6,557917.3,544452.0,577618.2,559297.5,572757.6,563475.6,599057.4,576747.6,585199.7,578263.8,616747.8,597163.2,608807.2,598615.3,630408.9,578429.5,531781.2,583348.2,623558.8,601339.1,617130.1,624152.5,662974.2,640968.1,657321.5,658276.9,697440.1,682544.4,705164.3,696577.7,742093.0,716141.9,724968.8,719892.9
"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Hungary,25322.7,28618.9,29566.4,31780.8,27439.0,30985.1,32465.2,34686.1,29775.2,33068.7,33949.2,36867.4,32092.6,35853.7,36705.7,39048.5,31876.4,,,,,,,,,,,,,,,,,,
"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Italy,402299.0,423586.6,426490.1,454191.2,410761.2,434664.9,434548.5,467696.7,420712.0,442378.7,442112.0,473192.6,426525.5,448329.9,449432.8,480216.6,404847.9,375893.2,427830.0,460284.0,420234.6,449914.9,466159.1,502630.9,462350.9,494317.8,499692.7,539575.5,502776.5,528959.5,531377.2,565702.0,519269.7,540889.8,544976.1
"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Lithuania,8578.9,9648.9,10311.8,10274.9,9350.4,10433.3,11312.2,11182.8,10134.1,11331.0,12141.1,12348.0,10907.2,12188.9,13003.6,13142.8,11493.8,11854.4,13546.1,13358.2,12162.1,13798.1,15261.4,15446.5,14736.3,16427.7,18411.5,17872.4,16593.4,18226.9,19688.1,19295.1,17517.0,19235.0,20834.8
"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Luxembourg,13308.8,13731.4,13892.9,15274.4,13869.7,14482.3,14306.3,15667.8,14395.8,14908.6,14732.9,16054.5,14704.3,15413.1,15396.8,16724.7,15263.0,15545.5,16043.3,17684.5,16717.0,17477.2,17844.3,20239.2,18538.8,19338.5,19306.7,20534.4,19140.2,20124.9,19469.0,20898.6,19591.6 p,20932.9 p,20361.8 p
